Sample,Species,Common name,Sample_Collector,Country,State,Near_Town,Lat,Lon,Stage,Total,used in RAD
97N5087,Geothlypis trichas,Common Yellowthroat,,CAN,AB,Hinton,53.399423,-117.56783,Breeding,58,4
03N2105,Geothlypis trichas,Common Yellowthroat,,CAN,BC,Bush River Road 1,51.296346,-116.966188,Breeding,21,6
03N2087,Geothlypis trichas,Common Yellowthroat,,CAN,BC,Frog Falls 1,50.896345,-118.48202,Breeding,3,3
03N2138,Geothlypis trichas,Common Yellowthroat,,CAN,BC,Bush River 4,51.296346,-116.966188,Breeding,7,7
97N5051,Geothlypis trichas,Common Yellowthroat,,CAN,BC,Eagle Creek,51.86433,-120.86603,Breeding,1,1
04N5081,Geothlypis trichas,Common Yellowthroat,,CAN,BC,Exposure Inlet,53.66666697,-129.7,Breeding,3,3
04N5099,Geothlypis trichas,Common Yellowthroat,,CAN,BC,Kynoch Inlet,52.779119,-127.79644,Breeding,1,1
97N2401,Geothlypis trichas,Common Yellowthroat,,MX,BCS,Estero,23.226452,-106.41619,Breeding,7,7
16N0001,Geothlypis trichas,Common Yellowthroat,CTR,USA,CA,Marshall,38.170276,-122.89942,Breeding,5,5
2350-05655,Geothlypis trichas,Common Yellowthroat,Katie Allen,USA,CA,Oceanside,33.26764,-117.37135,Breeding,13,13
16N0006,Geothlypis trichas,Common Yellowthroat,CTR,USA,CA,Olema,38.060316,-122.813066,Breeding,8,8
16N0015,Geothlypis trichas,Common Yellowthroat,CTR,USA,CA,Bolinas,37.922493,-122.690134,Breeding,18,3
01N0083,Geothlypis trichas,Common Yellowthroat,,USA,CA,Kopta Slough,39.911597,-122.09496,Breeding,2,2
16N0018,Geothlypis trichas,Common Yellowthroat,CTR,USA,CA,Limantour,38.023448,-122.873382,Breeding,160,1
2730-30450,Geothlypis trichas,Common Yellowthroat,Katie Allen,USA,CA,Oceanside,33.26764,-117.37135,Breeding,1,1
16N0010,Geothlypis trichas,Common Yellowthroat,CTR,USA,CA,Olema,38.060316,-122.813066,Breeding,1,1
00N0031,Geothlypis trichas,Common Yellowthroat,,BE,Cayo,San Ignacio,17.149995,-89.078172,Wintering,10,10
2750-75105,Geothlypis trichas,Common Yellowthroat,Carol Millard,USA,CT,Ashford,41.916569,71.916667,Breeding,1,1
2600-96445,Geothlypis trichas,Common Yellowthroat,Kale Slankard,USA,KY,Harrodsburg,37.81017,-84.76145,Breeding,11,11
27300-4343,Geothlypis trichas,Common Yellowthroat,Kale Slankard,USA,KY,Harrodsburg,37.81017,-84.76145,Breeding,1,1
2700-15676,Geothlypis trichas,Common Yellowthroat,Brenda Keith,USA,MI,Augusta,42.296921,-85.30333,Breeding,15,15
2730-29206,Geothlypis trichas,Common Yellowthroat,Brenda Keith,USA,MI,Augusta,42.296921,-85.30333,Breeding,14,14
98N2006,Geothlypis trichas,Common Yellowthroat,,CAN,NB,Burpee Wildlife Refuge,45.930988,-66.321557,Breeding,10,10
2590-05215,Geothlypis trichas,Common Yellowthroat,Andrea Patterson,USA,NY,Hilton,43.32104,-77.71511,Breeding,20,20
96N2143,Geothlypis trichas,Common Yellowthroat,,MX,OAX,Aeropuerte,17.001017,-96.721908,Wintering,8,8
98N2061,Geothlypis trichas,Common Yellowthroat,,CAN,ON,Hilliardton,47.740092,-79.695588,Breeding,10,10
98N2066,Geothlypis trichas,Common Yellowthroat,,CAN,ON,Hilliardton,47.740092,-79.695588,Breeding,4,4
2740-26827,Geothlypis trichas,Common Yellowthroat,Tim Kita,USA,PA,Nazareth,40.778302,-75.299512,Breeding,2,2
2740-26848,Geothlypis trichas,Common Yellowthroat,Tim Kita,USA,PA,Schnecksville,40.655269,-75.669064,Breeding,13,13
2740-26815,Geothlypis trichas,Common Yellowthroat,Tim Kita,USA,PA,Blakeslee,41.110236,-75.579747,Breeding,5,5
2740-26871,Geothlypis trichas,Common Yellowthroat,Tim Kita,USA,PA,Kunkletown,40.845567,-75.395833,Breeding,3,3
2740-26818,Geothlypis trichas,Common Yellowthroat,Tim Kita,USA,PA,Nazareth,40.776294,-75.299701,Breeding,11,11
2740-26833,Geothlypis trichas,Common Yellowthroat,Tim Kita,USA,PA,Schnecksville,40.654555,-75.632543,Breeding,10,10
98N2035,Geothlypis trichas,Common Yellowthroat,,CAN,QUE,Normandin,48.829764,-72.539014,Breeding,9,9
